Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Answers,Overall Explanation,Domain,,,,,,,,,,,,,,,,,
What is the name of the resource you would look at to identify the full list of the columns that can appear in AWS Cost and Usage Reports (AWS CUR) and the services that the columns apply to?  (Select One),multiple-choice,Data dictionary,Billing statement,Oragnizational resource,S3 repository,,,1,"Explanation: You can analyze your usage and cost in detail once you've set up your report. AWS has provided a Data Dictionary that lists the columns you'll see in your report, along with definitions and examples.",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
What service on AWS would use to download and store the Cost and Usage report on so you can query it? (Select One),multiple-choice,S3,RDS,Athena,EC2,,,1,"Explanation: AWS S3 is the service for storing data on AWS. You can publish your AWS billing reports to an Amazon Simple Storage Service (Amazon S3) bucket that you own and choose to use that how you like. 

https://docs.aws.amazon.com/cur/latest/userguide/what-is-cur.html",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
What is the name of the file format used in AWS Cost and Usage reports? (Select One),multiple-choice,CUR,CSV,DBR,XML,,,2,"Explanation: The AWS Cost and Usage Reports (AWS CUR) contains the most comprehensive set of cost and usage data available. Format is in CSV format

 https://docs.aws.amazon.com/cur/latest/userguide/what-is-cur.html ",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
"AWS provides what is called a ""Blended Rate"" on its invoices.  What is the blended rate showing? (Select One)",multiple-choice,Shows the effective rate for a group of resources with the same attributes.,Shows the effective rate for a group of resources with different attributes.,Shows the variable rate for a group of resources with the same attributes.,Shows the variable rate for a group of resources with the variable attributes.,,,1,"Explanation:  AWS provides Blended Rate information on its invoice showing the effective rate for a group of resources with the same attributes where some of the resources are receiving a discount from reservations and some are not.

 Terminology is a critical knowledge area for the exam. https://www.finops.org/resources/terminology/",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
Your FinOps leader and mentor has reached out to you to find out more about Azure Capabilities.  What tool in Azure would you use to implement enforcement of Tagging on Azure? (Select One),multiple-choice,Azure Invoices,Azure Editor,Azure Policy,Azure Monitoring,,,3,"Explanation:   You should use Azure Policy to enforce tagging rules and conventions. By creating a policy, you avoid the scenario of resources being deployed to your subscription that don't have the expected tags for your organization. Instead of manually applying tags or searching for resources that aren't compliant, you create a policy that automatically applies the needed tags during deployment.

Tags can also now be applied to existing resources with the new Modify effect and a remediation task. The following section shows example policy definitions for tags.

Please reference FinOps Terminology and the Microsoft Tag Documentation.",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
Which of the following terms are associated with Agile? (Select Two),multiple-answer,Sprint,User Story,Rightsizing,Zone,,,"1,2","Explanation:  There are several terms affiliated with Agile development such as Sprint, User Story, Epics, Lean, etc. Rightsizing, Zones and Regions are cloud computing terms.

Sprint

a short interval of work in an Agile project, usually a week or two weeks but sometimes more or less, during which time an agreed-upon amount of work will be delivered

User Story

in Agile, user stories typically illustrate a desire or requirement for the software to fulfill.

Please review the Terminology page before the exam.   https://www.finops.org/resources/terminology/",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
What term is used to describe the ability to identify and allocate costs to the appropriate cost categories in use by a customer? (Select One),multiple-choice,CAPEX,Capitilization,Cost Allocation,Depreciation,,,3,"Explanation: In FinOps, the ability to identify and allocate costs to the appropriate cost categories in use by a customer. Ideally direct costs (the cost of resources running in my accounts), amortized costs (the amortization of prepaid costs paid upfront for RIs applied in my accounts), and shared costs (my share of common services accounts run by others on my behalf) can be allocated to individual budgeting categories for a clear view of the entire cost of running my application or workload in the cloud.

Please review the terminology page before the exam  https://www.finops.org/resources/terminology/",Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
"In Cloud Computing some costs can be considered fixed and some are variable.  Which of the following costs would generally a fixed cost, meaning predictable monthly or annual costs?  (Select One)",multiple-choice,Support and maintenance,Consulting costs,Storage costs,Storage costs,,,1,Explanation:  Support and Maintenance are almost always a fixed cost meaning that you would pay a certain amount for a specific amount of support/users/response times.  Variable costs would be about any resource you would use.  ,Cloud Challenge,,,,,,,,,,,,,,,,,
Which of the following statements would be correct about Weighted Average Cost of Capital? (Select One),multiple-choice,This is the rate the company is expected to pay on average to all its securities holders to finance the operation of the business.,This is the rate the company is expected to pay on average to all its employees to finance the operation of the business.,This is the rate the company is expected to pay on average and the rate is set by the internal markets.,This is the rate the company is expected to pay to all its security holders and the rate is set by the shareholders.,,,1,Explanation: Weighted Average Cost of Capital - the rate the company is expected to pay on average to all its securities holders to finance the operation of the business. Importantly this is set by the external market (what the market is willing to pay for various forms of the company’s securities) not by management. Please review this page before the exam. Plesae review the Terminology page ,Terminology and the Cloud Billing,,,,,,,,,,,,,,,,,
A key role toward building FinOps adoption is the Driver?  (True or False),multiple-choice,TRUE,FALSE,,,,,1,"Explanation:  A key role toward building FinOps adoption is the Driver which means that we must get broad executive support and buy-in to dedicate the time and resources needed for the cultural change.  Please review this page before the exam. 

https://www.finops.org/projects/adopting-finops/",What is FinOps and FinOps Principles,,,,,,,,,,,,,,,,,
